year,day,dayLetter,problem,properName,maxScore,avgScore,avgRatio,acCnt,acRatio,dmojLink,ojuzLink,oj code
2011,2,B,5,Elephants,100,26.54,26.54%,6,1.95%,[DMOJ link](https://dmoj.ca/problem/ioi11p5),[OJ.uz link](https://oj.uz/problem/view/IOI11_elephants),elephants
2011,2,C,6,Parrots,100,59.9,59.90%,7,2.28%,[DMOJ link](https://dmoj.ca/problem/ioi11p6),[OJ.uz link](https://oj.uz/problem/view/IOI11_parrots),parrots
2010,1,A,1,Cluedo,100,92.69,92.69%,269,89.37%,[DMOJ link](https://dmoj.ca/problem/ioi10p1),[OJ.uz link](https://oj.uz/problem/view/IOI10_cluedo),cluedo
2010,1,B,2,Hotter Colder,100,55.23,55.23%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi10p2),[OJ.uz link](https://oj.uz/problem/view/IOI10_hottercolder),hottercolder
2010,1,C,3,Quality of Living,100,51.3,51.30%,64,21.26%,[DMOJ link](https://dmoj.ca/problem/ioi10p3),[OJ.uz link](https://oj.uz/problem/view/IOI10_quality),quality
2010,1,D,4,Languages,110,40.08,36.43%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi10p4),[OJ.uz link](https://oj.uz/problem/view/IOI10_languages),languages
2010,2,A,5,Memory,100,93.19,93.19%,275,91.36%,[DMOJ link](https://dmoj.ca/problem/ioi10p5),[OJ.uz link](https://oj.uz/problem/view/IOI10_memory),memory
2010,2,B,6,Traffic Congestion,100,75.91,75.91%,188,62.46%,[DMOJ link](https://dmoj.ca/problem/ioi10p6),[OJ.uz link](https://oj.uz/problem/view/IOI10_traffic),traffic
2010,2,C,7,Maze,110,42.75,38.86%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi10p7),[OJ.uz link](https://oj.uz/problem/view/IOI10_maze),maze
2010,2,D,8,Saveit,100,33.22,33.22%,6,1.99%,[DMOJ link](https://dmoj.ca/problem/ioi10p8),[OJ.uz link](https://oj.uz/problem/view/IOI10_saveit),saveit
2009,1,A,1,Archery,100,11.37,11.37%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi09p1),[OJ.uz link](https://oj.uz/problem/view/IOI09_archery),archery
2009,1,B,2,Hiring,100,28.86,28.86%,30,9.71%,[DMOJ link](https://dmoj.ca/problem/ioi09p2),[OJ.uz link](https://oj.uz/problem/view/IOI09_hiring),hiring
2009,1,C,3,Poi,100,90.05,90.05%,261,84.47%,[DMOJ link](https://dmoj.ca/problem/ioi09p3),[OJ.uz link](https://oj.uz/problem/view/IOI09_poi),poi
2009,1,D,4,Raisins,100,70.55,70.55%,202,65.37%,[DMOJ link](https://dmoj.ca/problem/ioi09p4),[OJ.uz link](https://oj.uz/problem/view/IOI09_raisins),raisins
2009,2,A,5,Garage,100,91.55,91.55%,273,88.35%,[DMOJ link](https://dmoj.ca/problem/ioi09p5),[OJ.uz link](https://oj.uz/problem/view/IOI09_garage),garage
2009,2,B,6,Mecho,100,46.09,46.09%,58,18.77%,[DMOJ link](https://dmoj.ca/problem/ioi09p6),[OJ.uz link](https://oj.uz/problem/view/IOI09_mecho),mecho
2009,2,C,7,Regions,100,15.06,15.06%,3,0.97%,[DMOJ link](https://dmoj.ca/problem/ioi09p7),[OJ.uz link](https://oj.uz/problem/view/IOI09_regions),regions
2009,2,D,8,Salesman,100,22.42,22.42%,22,7.12%,[DMOJ link](https://dmoj.ca/problem/ioi09p8),[OJ.uz link](https://oj.uz/problem/view/IOI09_salesman),salesman
2008,1,A,1,Type Printer,100,53.78,53.78%,118,41.70%,[DMOJ link](https://dmoj.ca/problem/ioi08p1),[OJ.uz link](https://oj.uz/problem/view/IOI08_printer),printer
2008,1,B,2,Fish,100,3.02,3.02%,1,0.35%,[DMOJ link](https://dmoj.ca/problem/ioi08p2),[OJ.uz link](https://oj.uz/problem/view/IOI08_fish),fish
2008,1,C,3,Islands,100,17.11,17.11%,9,3.18%,[DMOJ link](https://dmoj.ca/problem/ioi08p3),[OJ.uz link](https://oj.uz/problem/view/IOI08_islands),islands
2008,2,A,4,Teleporters,100,14.53,14.53%,25,8.83%,[DMOJ link](https://dmoj.ca/problem/ioi08p4),[OJ.uz link](https://oj.uz/problem/view/IOI08_teleporters),teleporters
2008,2,B,5,Linear Garden,100,47.6,47.60%,82,28.98%,[DMOJ link](https://dmoj.ca/problem/ioi08p5),[OJ.uz link](https://oj.uz/problem/view/IOI08_linear_garden),linear_garden
2008,2,C,6,Pyramid Base,100,9.82,9.82%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi08p6),[OJ.uz link](https://oj.uz/problem/view/IOI08_pyramid_base),pyramid_base
2007,1,A,1,Aliens,100,45.92,45.92%,60,20.76%,[DMOJ link](https://dmoj.ca/problem/ioi07p1),[OJ.uz link](https://oj.uz/problem/view/IOI07_aliens),aliens
2007,1,B,2,Flood,100,20.65,20.65%,24,8.30%,[DMOJ link](https://dmoj.ca/problem/ioi07p2),[OJ.uz link](https://oj.uz/problem/view/IOI07_flood),flood
2007,1,C,3,Sails,100,19.73,19.73%,12,4.15%,[DMOJ link](https://dmoj.ca/problem/ioi07p3),[OJ.uz link](https://oj.uz/problem/view/IOI07_sails),sails
2007,2,A,4,Miners,100,68.31,68.31%,131,45.33%,[DMOJ link](https://dmoj.ca/problem/ioi07p4),[OJ.uz link](https://oj.uz/problem/view/IOI07_miners),miners
2007,2,B,5,Pairs,100,42.26,42.26%,9,3.11%,[DMOJ link](https://dmoj.ca/problem/ioi07p5),[OJ.uz link](https://oj.uz/problem/view/IOI07_pairs),pairs
2007,2,C,6,Training,100,5.31,5.31%,3,1.04%,[DMOJ link](https://dmoj.ca/problem/ioi07p6),[OJ.uz link](https://oj.uz/problem/view/IOI07_training),training
2006,1,A,1,Deciphering the Mayan Writing,100,80.62,80.62%,203,71.48%,[DMOJ link](https://dmoj.ca/problem/ioi06p1),,
2006,1,B,2,Pyramid,100,45.93,45.93%,46,16.20%,[DMOJ link](https://dmoj.ca/problem/ioi06p2),,
2006,1,C,3,Forbidden Subgraph,100,26.15,26.15%,1,0.35%,[DMOJ link](https://dmoj.ca/problem/ioi06p3),,
2006,2,A,4,The Valley of Mexico,100,39.26,39.26%,79,27.82%,[DMOJ link](https://dmoj.ca/problem/ioi06p4),,
2006,2,B,5,Joining Points,100,8,8.00%,1,0.35%,[DMOJ link](https://dmoj.ca/problem/ioi06p5),,
2006,2,C,6,A Black Box Game,100,19.11,19.11%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi06p6),,
2005,1,A,1,Garden,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p1),,
2005,1,B,2,Mountain,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p2),,
2005,1,C,3,Mean Sequence,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p3),,
2005,2,A,4,Birthday,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p4),,
2005,2,B,5,Rectangle Game,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p5),,
2005,2,C,6,Rivers,100,N/A,,,,[DMOJ link](https://dmoj.ca/problem/ioi05p6),,
2004,1,A,1,Artemis,100,39.08,39.08%,4,1.36%,[DMOJ link](https://dmoj.ca/problem/ioi04p1),,
2004,1,B,2,Hermes,100,52.56,52.56%,47,15.93%,[DMOJ link](https://dmoj.ca/problem/ioi04p2),,
2004,1,C,3,Polygon,100,11.29,11.29%,1,0.34%,[DMOJ link](https://dmoj.ca/problem/ioi04p3),,
2004,2,A,4,Empodia,100,43.93,43.93%,16,5.42%,[DMOJ link](https://dmoj.ca/problem/ioi04p4),,
2004,2,B,5,Phidias,100,53.54,53.54%,76,25.76%,[DMOJ link](https://dmoj.ca/problem/ioi04p5),,
2004,2,C,6,Farmer,100,56,56.00%,65,22.03%,[DMOJ link](https://dmoj.ca/problem/ioi04p6),,
2003,1,A,1,Trail Maintenance,100,48.25,48.25%,74,27.51%,[DMOJ link](https://dmoj.ca/problem/ioi03p1),,
2003,1,B,2,Comparing Code,100,13.96,13.96%,4,1.49%,[DMOJ link](https://dmoj.ca/problem/ioi03p2),,
2003,1,C,3,Reverse,100,34.07,34.07%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi03p3),[OJ.uz link](https://oj.uz/problem/view/IOI03_reverse),reverse
2003,2,A,4,Guess Which Cow,100,54.78,54.78%,1,0.37%,[DMOJ link](https://dmoj.ca/problem/ioi03p4),,
2003,2,B,5,Amazing Robots,100,12.28,12.28%,7,2.60%,[DMOJ link](https://dmoj.ca/problem/ioi03p5),,
2003,2,C,6,Seeing the Boundary,100,18.47,18.47%,8,2.97%,[DMOJ link](https://dmoj.ca/problem/ioi03p6),,
